registro_id;paciente_id;ci_paciente;nombre_paciente;apellido_paterno;apellido_materno;sexo;fecha_nacimiento;municipio_residencia;comunidad_indigena;fecha_vacunacion;vacuna_id;vacuna_nombre;numero_dosis;establecimiento_id;nombre_establecimiento;departamento;lote_vacuna;temperatura_conservacion;edad_dias_aplicacion;aplicacion_oportuna;via_administracion
REG-SC-000001;PAC-SC-02913;98382843 SC;Paola;Bustamante;Herrera;F;22/12/2013;Puerto Suarez;False;13/12/2024;VAC-022;VPH;1;EST-SC-0112;Posta de Salud Litoral;Santa Cruz;LOT-GSK-2024-214;4.5;4009;True;Intramuscular
REG-SC-000002;PAC-SC-00409;5739400 SC;Daniel;Torrez;Herrera;M;26/12/2008;Montero;False;10/01/2024;VAC-024;dT Adulto;1;EST-SC-0096;Posta Sanitaria Temporal;Santa Cruz;LOT-SNF-2024-436;5.7;5493;True;Intramuscular
REG-SC-000003;PAC-SC-04258;55360404 SC;Hugo;Choque;García;M;06/05/2024;Puerto Suarez;False;00/05/2024;VAC-008;Antipolio bOPV;2;EST-SC-0111;Posta Sanitaria Bolívar;Santa Cruz;LOT-PFZ-2025-252;10.3;331;True;Oral
REG-SC-000004;PAC-SC-03092;27024626 SC;Hugo;Céspedes;Suárez;M;25/03/2009;Mineros;False;28/11/2024;VAC-024;dT Adulto;1;EST-SC-0077;Micro Hospital Mallasa;Santa Cruz;LOT-GSK-2024-302;5.7;5727;True;Intramuscular
REG-SC-000005;PAC-SC-01178;42787255 SC;Hugo;Romero;Apaza;M;19/02/2023;Portachuelo;True;03/12/2024;VAC-021;Antiamarílica (FA);1;EST-SC-0108;Centro Integral de Salud Nuevos Horizontes;Santa Cruz;LOT-PFZ-2024-551;4.2;653;True;Subcutánea
REG-SC-000006;PAC-SC-03259;96702288 SC;Raúl;Gutiérrez;Terrazas;M;22/08/2008;San Ignacio de Velasco;False;16/09/2024;VAC-024;dT Adulto;1;EST-SC-0137;Centro Integral de Salud Chasquipampa;Santa Cruz;LOT-AZN-2024-976;6.3;5869;True;Intramuscular
REG-SC-000007;PAC-SC-03393;83176625 SC;Verónica;Salazar;Vargas;F;12/11/2022;Roboré;False;26/09/2024;VAC-021;Antiamarílica (FA);1;EST-SC-0085;Posta de Salud Pampa de la Isla;Santa Cruz;LOT-SNF-2024-761;13.2;684;True;Subcutánea
REG-SC-000008;PAC-SC-02385;83352393 SC;José;Morales;Castillo;M;06/06/2021;San Ignacio de Velasco;False;12/10/2024;VAC-007;Antipolio IPV;1;EST-SC-0143;Hospital del Niño Santiago de Lacaya;Santa Cruz;LOT-BIO-2024-983;1.6;1224;True;Intramuscular
REG-SC-000009;PAC-SC-03587;39004775 SC;Fernando;Salvatierra;Herrera;M;15/07/2024;Yapacaní;False;25/04/2025;VAC-001;BCG;1;EST-SC-0129;Posta de Salud Villa Adela;Santa Cruz;LOT-GSK-2025-290;2.5;284;True;Intradérmica
REG-SC-000010;PAC-SC-00446;34692118 SC;Renata;Cuéllar;Salvatierra;F;19/11/2013;Portachuelo;True;30/01/2024;VAC-025;Influenza Estacional;1;EST-SC-0143;Hospital del Niño Santiago de Lacaya;Santa Cruz;LOT-GSK-2024-258;6.3;3724;True;Intramuscular
REG-SC-000011;PAC-SC-01339;11404819 SC;Carla;Romero;Peñaranda;F;23/03/1996;San Ignacio de Velasco;False;25/02/2025;VAC-024;dT Adulto;1;EST-SC-0127;Centro Materno Infantil Libertad;Santa Cruz;LOT-SII-2025-342;5.3;10566;True;Intramuscular
REG-SC-000012;PAC-SC-05077;64344521 SC;Fernanda;Paz;Salvatierra;F;12/07/2021;Montero;False;30/11/2024;VAC-019;SRP (Triple Viral);1;EST-SC-0107;Hospital Provincial Villa Ingenio;Santa Cruz;LOT-SNF-2024-428;5.2;1237;True;Subcutánea
REG-SC-000013;PAC-SC-02220;51149267 SC;Natalia;Castillo;Pereira;F;11/10/2019;Puerto Suarez;False;30/01/2025;VAC-025;Influenza Estacional;1;EST-SC-0095;Posta de Salud Quillacollo Centro;Santa Cruz;LOT-PFZ-2025-860;4.6;1938;True;Intramuscular
REG-SC-000014;PAC-SC-00168;38735088 SC;José;Flores;Huanca;M;27/09/2021;Puerto Suarez;False;04/07/2024;VAC-009;Antipolio bOPV;3;EST-SC-0077;Micro Hospital Mallasa;Santa Cruz;LOT-SNF-2024-208;13.8;1011;True;Oral
REG-SC-000015;PAC-SC-05243;78515629 SC;Eduardo;Salazar;Saucedo;M;04/05/2023;Yapacaní;False;06/06/2025;VAC-004;Pentavalente;3;EST-SC-0092;Policlínico Colquiri;Santa Cruz;LOT-BIO-2025-502;6.3;764;True;Intramuscular
REG-SC-000016;PAC-SC-01312;29402632 SC;Óscar;Herrera;Flores;M;11/07/2020;San Ignacio de Velasco;False;27/05/2024;VAC-019;SRP (Triple Viral);1;EST-SC-0121;Posta Sanitaria Tarapacá;Santa Cruz;LOT-GSK-2024-960;6.7;1416;True;Subcutánea
REG-SC-000017;PAC-SC-03723;23377890 SC;Patricia;Terrazas;Pereira;F;28/04/2020;La Guardia;False;28/05/2024;VAC-001;BCG;1;EST-SC-0090;Hospital Virgen de Remedios Las Palmas;Santa Cruz;LOT-PFZ-2024-599;5.3;1491;True;Intradérmica
REG-SC-000018;PAC-SC-02661;78257471 SC;Lucía;García;Fernández;F;23/06/1994;San Ignacio de Velasco;False;14/05/2025;VAC-025;Influenza Estacional;1;EST-SC-0071;Centro Ambulatorio Obrajes;Santa Cruz;LOT-AZN-2025-761;4.7;11283;True;Intramuscular
REG-SC-000019;PAC-SC-02188;11142310 SC;Luis;Quiroga;Ribera;M;28/06/1997;Yapacaní;False;16/08/2024;VAC-024;dT Adulto;1;EST-SC-0137;Centro Integral de Salud Chasquipampa;Santa Cruz;LOT-BIO-2024-699;5.0;9911;True;Intramuscular
REG-SC-000020;PAC-SC-01097;62818606 SC;José;Quiroga;Fernández;M;24/05/2024;San Ignacio de Velasco;True;14/10/2024;VAC-001;BCG;1;EST-SC-0092;Policlínico Colquiri;Santa Cruz;LOT-SII-2024-965;2.6;143;True;Intradérmica
REG-SC-000021;PAC-SC-03111;36770707 SC;Verónica;Fernández;Áñez;F;21/07/2012;Mineros;False;22/02/2025;VAC-023;VPH;2;EST-SC-0129;Posta de Salud Villa Adela;Santa Cruz;LOT-BIO-2025-316;6.0;4599;True;Intramuscular
REG-SC-000022;PAC-SC-04075;18648913 SC;Daniel;Herrera;Bustamante;M;26/06/2020;Santa Cruz de la Sierra;True;03/02/2025;VAC-007;Antipolio IPV;1;EST-SC-0107;Hospital Provincial Villa Ingenio;Santa Cruz;LOT-SII-2025-620;5.2;1683;True;Intramuscular
REG-SC-000023;PAC-SC-02994;84911374 SC;Andrea;Paniagua;Herrera;F;04/05/2012;Roboré;False;30/09/2024;VAC-023;VPH;2;EST-SC-0131;Hospital Municipal San Antonio;Santa Cruz;LOT-AZN-2024-807;3.0;4532;True;Intramuscular
REG-SC-000024;PAC-SC-03296;11212237 SC;Gabriela;Torrez;Gutiérrez;F;11/08/2021;Cotoca;False;31/01/2024;VAC-003;Pentavalente;2;EST-SC-0120;Centro Integral de Salud Toro Toro;Santa Cruz;LOTGSK2024230;6.4;903;True;Intramuscular
REG-SC-000025;PAC-SC-03271;67357558 SC;Lorena;Romero;Calle;F;06/10/2019;Yapacaní;True;20/02/2024;VAC-006;Pentavalente;5;EST-SC-0140;Centro Integral de Salud Cota Cota;Santa Cruz;LOT-AZN-2024-845;3.5;1598;True;Intramuscular
REG-SC-000026;PAC-SC-03147;89372150 SC;Isabella;Paz;Cruz;F;21/06/2024;La Guardia;False;11/10/2024;VAC-001;BCG;1;EST-SC-0123;Micro Hospital Villa Primavera;Santa Cruz;LOT-AZN-2024-553;3.1;112;True;Intradérmica
REG-SC-000027;PAC-SC-01513;49258716 SC;Emilio;Salazar;Morales;M;04/01/2006;Vallegrande;False;24/05/2025;VAC-024;dT Adulto;1;EST-SC-0113;Centro Ambulatorio Tupac Katari;Santa Cruz;LOT-AZN-2025-599;7.6;7080;True;Intramuscular
REG-SC-000028;PAC-SC-03809;9684204 SC;José;Áñez;Salazar;M;14/01/1991;La Guardia;False;03/05/2025;VAC-025;Influenza Estacional;1;EST-SC-0086;Puesto de Salud Los Lotes;Santa Cruz;LOT-SNF-2025-765;5.9;12528;True;Intramuscular
REG-SC-000029;PAC-SC-00687;98097169 SC;Facundo;Poma;Saucedo;M;12/06/2022;San Julián;True;04/04/2025;VAC-025;Influenza Estacional;1;EST-SC-0132;Centro de Salud Villa Victoria;Santa Cruz;LOT-PFZ-2025-887;6.5;1027;True;Intramuscular
REG-SC-000030;PAC-SC-03304;68848760 SC;Elena;Paniagua;Paniagua;F;02/01/2010;Robore;False;22/11/2024;VAC-025;Influenza Estacional;1;EST-SC-0085;Posta de Salud Pampa de la Isla;Santa Cruz;LOT-PFZ-2024-196;12.3;5438;True;Intramuscular
REG-SC-000031;PAC-SC-04657;56749677 SC;Fernando;Quispe;Calle;M;23/04/2024;Mineros;True;29/05/2024;VAC-001;BCG;1;EST-SC-0085;Posta de Salud Pampa de la Isla;Santa Cruz;LOT-SII-2024-928;6.1;36;True;Intradérmica
REG-SC-000032;PAC-SC-03885;53668014 SC;Eduardo;Saucedo;Bustamante;M;16/05/2023;Cotoca;False;28/06/2025;VAC-004;Pentavalente;3;EST-SC-0090;Hospital Virgen de Remedios Las Palmas;Santa Cruz;LOT-BIO-2025-136;1.3;774;True;Intramuscular
REG-SC-000033;PAC-SC-03562;22266288 SC;Natalia;Herrera;Quiroga;F;28/01/2024;San Julián;False;23/09/2024;VAC-012;Antineumocócica;1;EST-SC-0099;Centro Materno Infantil Valle Hermoso;Santa Cruz;LOT-BIO-2024-829;5.1;239;True;Intramuscular
REG-SC-000034;PAC-SC-00957;69611582 SC;Lucía;Ribera;Montaño;F;28/06/2009;San Julián;False;26/10/2024;VAC-024;dT Adulto;1;EST-SC-0076;Centro Integral de Salud Cota Cota;Santa Cruz;LOT-GSK-2024-433;6.8;5599;True;Intramuscular
